arc_length,p,U:0,U:1,velMag
0,1.129,-0.0016489,3.1805,3.18050042742824
0.068494,1.1256,-0.0017957,3.0965,3.09650052067467
0.13699,1.1222,-0.0019425,3.0126,3.01260062625404
0.20548,1.1188,-0.0020894,2.9286,2.92860074533767
0.27397,1.1154,-0.0022362,2.8447,2.84470087893094
0.34247,1.112,-0.002383,2.7608,2.76080102844971
0.41096,1.1085,-0.0025298,2.6768,2.67680119543608
0.47945,1.1051,-0.0026767,2.5929,2.5929013816038
0.54795,1.1017,-0.0028235,2.5089,2.50890158877391
0.61644,1.0981,-0.0029364,2.439,2.43900176761825
0.68493,1.0937,-0.0029177,2.4234,2.42340175641046
0.75343,1.0894,-0.0028989,2.4078,2.40780174508227
0.82192,1.085,-0.0028801,2.3922,2.39220173375408
0.89041,1.0814,-0.0028533,2.3873,2.3873017051309
0.95891,1.0791,-0.0028134,2.3997,2.39970164920966
1.0274,1.0768,-0.0027734,2.4122,2.41220159434231
1.0959,1.0745,-0.0027335,2.4246,2.42460154087682
1.1644,1.0722,-0.0026935,2.437,2.43700148849816
1.2329,1.0699,-0.0026536,2.4494,2.44940143741139
1.3014,1.0676,-0.0026137,2.4618,2.46180138748594
1.3699,1.0652,-0.0025737,2.4743,2.47430133854624
1.4384,1.0629,-0.0025338,2.4867,2.48670129089572
1.5069,1.0606,-0.0024938,2.4991,2.49910124425531
1.5753,1.0583,-0.0024539,2.5115,2.51150119881023
1.6438,1.056,-0.0024139,2.524,2.52400115430108
1.7123,1.0537,-0.002374,2.5364,2.53640111099881
1.7808,1.0514,-0.0023341,2.5488,2.54880106874248
1.8493,1.0491,-0.0022941,2.5612,2.56120102742733
1.9178,1.0468,-0.0022542,2.5737,2.57370098718123
1.9863,1.0445,-0.0022142,2.5861,2.58610094789079
2.0548,1.0422,-0.0021743,2.5985,2.59850090967475
2.1233,1.0399,-0.0021343,2.6109,2.61090087234971
2.1918,1.0376,-0.0020944,2.6234,2.62340083603542
2.2603,1.0353,-0.0020545,2.6358,2.6358008006999
2.3288,1.033,-0.0020145,2.6482,2.64820076622039
2.3973,1.0306,-0.0019746,2.6606,2.66060073273785
2.4658,1.0283,-0.0019346,2.673,2.67300070008916
2.5343,1.026,-0.0018947,2.6855,2.68550066838347
2.6028,1.0237,-0.0018548,2.6979,2.69790063758528
2.6712,1.0223,-0.0015796,2.71,2.71000046035719
2.7397,1.0196,-0.0016954,2.6857,2.68570053512695
2.8082,1.0169,-0.0018113,2.6613,2.66130061639186
2.8767,1.0142,-0.0019271,2.637,2.63700070415508
2.9452,1.0115,-0.002043,2.6126,2.61260079879208
3.0137,1.0088,-0.0021588,2.5882,2.58820090032003
3.0822,1.0061,-0.0022747,2.5639,2.56390100906024
3.1507,1.0034,-0.0023905,2.5395,2.53950112512089
3.2192,1.0007,-0.0025064,2.5151,2.51510124886474
3.2877,0.99798,-0.0026222,2.4908,2.49080138026556
3.3562,0.99528,-0.0027381,2.4664,2.46640151986484
3.4247,0.99257,-0.002854,2.4421,2.44210166768626
3.4932,0.98987,-0.0029698,2.4177,2.41770182398741
3.5617,0.98716,-0.0030857,2.3933,2.39330198920748
3.6302,0.98446,-0.0032015,2.369,2.36900216327513
3.6986,0.98176,-0.0033174,2.3446,2.34460234691147
3.7671,0.97905,-0.0034332,2.3203,2.3203025399422
3.8356,0.97635,-0.0035491,2.2959,2.29590274317333
3.9041,0.97554,-0.0035431,2.2774,2.27740275611443
3.9726,0.97268,-0.0035137,2.2556,2.25560273676188
4.0411,0.96982,-0.0034842,2.2338,2.23380271726257
4.1096,0.96696,-0.0034547,2.2121,2.21210269765038
4.1781,0.9641,-0.0034253,2.1903,2.19030267832555
4.2466,0.96125,-0.0033958,2.1685,2.16850265885418
4.3151,0.95839,-0.0033663,2.1468,2.14680263926978
4.3836,0.95553,-0.0033369,2.125,2.12500261997523
4.4521,0.95267,-0.0033074,2.1032,2.10320260053442
4.5206,0.94981,-0.0032779,2.0815,2.08150258098048
4.5891,0.94696,-0.0032485,2.0597,2.05970256171911
4.6576,0.9441,-0.003219,2.0379,2.03790254231182
4.726,0.94124,-0.0031896,2.0162,2.01620252294956
4.7945,0.93838,-0.0031601,1.9944,1.99440250356642
4.863,0.93552,-0.0031306,1.9726,1.97260248419603
4.9315,0.93267,-0.0031012,1.9509,1.95090246487144
5,0.92981,-0.0030717,1.9291,1.92910244552768
5.0685,0.92695,-0.0030422,1.9073,1.90730242619802
5.137,0.92377,-0.0030092,1.8865,1.88650240002091
5.2055,0.92057,-0.0029759,1.8656,1.86560237349249
5.274,0.91737,-0.0029427,1.8448,1.84480234699636
5.3425,0.91417,-0.0029095,1.8239,1.82390232062746
5.411,0.91097,-0.0028762,1.8031,1.80310229397182
5.4795,0.90777,-0.002843,1.7823,1.78230226747569
5.548,0.90457,-0.0028097,1.7614,1.76140224094728
5.6165,0.90139,-0.0027708,1.7411,1.74110220473487
5.685,0.89825,-0.0027245,1.7214,1.72140215606355
5.7534,0.89512,-0.0026782,1.7017,1.70170210752506
5.8219,0.89198,-0.0026318,1.682,1.6820020589676
5.8904,0.88884,-0.0025855,1.6623,1.66230201070992
5.9589,0.8857,-0.0025392,1.6426,1.64260196259978
6.0274,0.88257,-0.0024929,1.6229,1.62290191464254
6.0959,0.87943,-0.0024466,1.6032,1.60320186684384
6.1644,0.87629,-0.0024003,1.5835,1.58350181920959
6.2329,0.87315,-0.002354,1.5638,1.56380177174602
6.3014,0.87,-0.0023084,1.544,1.54400172561774
